"brand_name","String","Brand (ex: Nokia)"
"model_name","String","Model (ex: N95)"
"marketing_name","String","In addition to Brand and Model, some devices have a marketing name (for ex: BlackBerry 8100 Pearl, Nokia 8800 Scirocco, Samsung M800 Instinct)."
"model_extra_info","String","In addition to Brand and Model (and possibly a marketing name), some may be characterized by extra info (es: Nokia N95 8GB, Sharp 902SH Vodafone). "
"unique","Boolean","UA is repetead for different devices (rare, but deadly occurence)"
"ununiqueness_handler","String","How to handle a non-unique User-agent String (API/framework may support specific mechanism to handle HTTP request directly)"
"is_wireless_device","Boolean","Tells you if a device is wireless or not. Specifically a mobile phone or a PDA are considered wireless devices, a desktop PC or a laptop are not"
"device_claims_web_support","Boolean","Whether the device is wireless or not, the browser may claim web support or not. Opera for Symbian is an example of a browser that claims web support (and tries to render at best) a page that was developed for web presentation independently from the device."
"has_pointing_device","Boolean","(deprecated): The presence of a stylus is the tipical example of this, but there are also devices with mouse-like user controls that can have this capability set to true.In general, not having to click your way to each and every link (or form widget) makes a big difference and this capability captures that."
"pointing_method","String","Links and widgets can be activated with either a stylus, a finger, a joystick or a BlackBerry-style clickwheel. Devices with this capability set to empty string ("""") should have has_pointing_device set to false. Values: joystick, stylus, touchscreen, clickwheel, """" (empty string)"
"has_qwerty_keyboard","Boolean","Some devices come with a full querty keyboard. This may have a say on how forms or other functions are implemented. Virtual keyboard (a-la Palm pilot) are good enough to make this capability tick to true."
"can_skip_aligned_link_row","Boolean","Many modern devices (or browser/device combo) let users skip a row of links (for ex: link1|link2|link3|link4) with just one click down. Other devices force users to click multiple times to skip the list of links."
"uaprof","String","UAProf urls can typically be extracted as a HTTP header. This capability may be useful when this is not possible for some reason."
"uaprof2","String","UAProf urls can typically be extracted as a HTTP header. This capability may be useful when this is not possible for some reason."
"uaprof3","String","UAProf urls can typically be extracted as a HTTP header. This capability may be useful when this is not possible for some reason."
"nokia_series","Integer","Nokia Series 20/30/40/60/80 or 90"
"nokia_edition","Integer","Developer Platform (1/2/3/...)"
"nokia_feature_pack","Integer","Nokia Feature Pack (0,1,2,3,4,5,6,7,8)"
"device_os","String","Information about hosting OS"
"device_os_version","String","Which version of the hosting OS"
"mobile_browser","String","Information about the device browser (Openwave, Nokia, Opera, Access, Teleca,...)"
"mobile_browser_version","String","Which version of the browser"
"can_assign_phone_number","Boolean","Device is a mobile phone and may have a phone number associated to it."
"release_date","String","Original release date of the device"
"proportional_font","Boolean","The standard font is proportional"
"built_in_back_button_support","Boolean","User may always click on a button to go back"
"card_title_support","Boolean","The device displays the title on the screen"
"softkey_support","Boolean","Softkeys are supported"
"table_support","Boolean","The browser displays tables formatted ""correctly"" (rather than 1 cell per line)"
"numbered_menus","Boolean","The browser lists numbers to pick an element from a list"
"menu_with_select_element_recommended","Boolean","A select element is the most usable menu format"
"menu_with_list_of_links_recommended","Boolean","A list of links is the most usable menu format"
"icons_on_menu_items_support","Boolean","Links may be associated with icons"
"break_list_of_links_with_br_element_recommended","Boolean","When presenting a list of links the use of <br/> is suggested for better presentation"
"access_key_support","Boolean","respects the ""accesskey"" attribute of the anchor tag"
"wrap_mode_support","Boolean","The browser can be forced to wrap or not lines"
